RptDt;TckrSymb;SctyId;SctySrc;MktIdrCd;ISIN;FrstPric;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;TradQty;MktDataStrmId;NtlFinVol;IntlFinVol;FinInstrmQty;BestBidPric;BestAskPric;RglrTxsQty;NtlRglrVol;IntlRglrVol;MaxTradLmt;MinTradLmt;OpnIntrst;NonRglrTxsQty;RglrTraddCtrcts;NonRglrTraddCtrcts;NtlNonRglrVol;IntlNonRglrVol;NovaColunaRodboza
25/06/2018;ANIM3;2E+11;8;BVMF;BRANIMACNOR6;16.4;16.1;16.8;16.36;16.1;-2.83;707;Electronic (default);1857076;492972.31;113500;16.1;16.29;707;1857076;492972.31;;;;;113500;;;;Rodboza fodao - ANIM3
25/06/2018;ANIM3F;2E+11;8;BVMF;BRANIMACNOR6;16.56;16.56;16.99;16.93;16.99;2.53;2;Electronic (default);981.98;260.67;58;16;16.5;2;981.98;260.67;;;;;58;;;;Rodboza fodao - ANIM3F
25/06/2018;APTI3;3E+11;8;BVMF;BRAPTIACNOR6;;;;;300;;;;;;;3500;;;;;;;;;;;;;Rodboza fodao - APTI3
25/06/2018;APTI3F;3E+11;8;BVMF;BRAPTIACNOR6;;;;;300;;;;;;;;;;;;;;;;;;;;Rodboza fodao - APTI3F
25/06/2018;APTI4;3E+11;8;BVMF;BRAPTIACNPR3;;;;;9200;;;;;;;3500;;;;;;;;;;;;;Rodboza fodao - APTI4
25/06/2018;APTI4F;3E+11;8;BVMF;BRAPTIACNPR3;;;;;2500;;;;;;;;;;;;;;;;;;;;Rodboza fodao - APTI4F
25/06/2018;AQLL11;10014672;8;BVMF;BRAQLLCTF008;;;;;530;;;;;;;425;1200;;;;;;;;;;;;Rodboza fodao - AQLL11
25/06/2018;ARFI11B;2E+11;8;BVMF;BRARFICTF004;;;;;1109;;;;;;;;1219;;;;;;;;;;;;Rodboza fodao - ARFI11B
25/06/2018;ARMT11;10036493;8;BVMF;BRARMTD01M10;;;;;;;;;;;;;;;;;;;;;;;;;Rodboza fodao - ARMT11
25/06/2018;ARMT34;2E+11;8;BVMF;BRARMTBDR008;57.44;57.44;57.44;57.44;57.44;-5.05;1;Electronic (default);5744;1524.78;100;;;1;5744;1524.78;;;;;100;;;;Rodboza fodao - ARMT34
25/06/2018;ARMT34F;2E+11;8;BVMF;BRARMTBDR008;57.44;57.44;57.44;57.44;57.44;-5.05;1;Electronic (default);1148.8;304.95;20;;;1;1148.8;304.95;;;;;20;;;;Rodboza fodao - ARMT34F
25/06/2018;ARNC34;2E+11;8;BVMF;BRARNCBDR002;;;;;965.748.841;;;;;;;;;;;;;;;;;;;;Rodboza fodao - ARNC34
25/06/2018;ARNC34F;2E+11;8;BVMF;BRARNCBDR002;;;;;964.492.963;;;;;;;;;;;;;;;;;;;;Rodboza fodao - ARNC34F
25/06/2018;ARZZ3;2E+11;8;BVMF;BRARZZACNOR3;40.4;40;41.29;40.48;41;1.68;653;Electronic (default);10800706;2867114.22;266800;41;41.09;653;10800706;2867114.22;;;;;266800;;;;Rodboza fodao - ARZZ3
25/06/2018;ARZZ3F;2E+11;8;BVMF;BRARZZACNOR3;41;40;41.25;40.6;41;1.68;24;Electronic (default);25054.74;6650.93;617;40.87;41.3;23;24972.9;6629.21;;;;1;615;2;81.84;21.72;Rodboza fodao - ARZZ3F
25/06/2018;ATCR11;2E+11;8;BVMF;BRATCRCTF008;;;;;0;;;;;;;;;;;;;;;;;;;;Rodboza fodao - ATCR11
25/06/2018;ATCR13;10034519;8;BVMF;BRATCRR02M15;;;;;;;;;;;;;;;;;;;;;;;;;Rodboza fodao - ATCR13
25/06/2018;ATOM3;2E+11;8;BVMF;BRATOMACNOR1;2.44;2.42;2.44;2.42;2.43;0.41;4;Electronic (default);3395;901.22;1400;2.42;2.44;4;3395;901.22;;;;;1400;;;;Rodboza fodao - ATOM3
25/06/2018;ATOM3F;2E+11;8;BVMF;BRATOMACNOR1;2.22;2.22;2.52;2.23;2.52;4.13;3;Electronic (default);35.82;9.5;16;2.21;2.51;3;35.82;9.5;;;;;16;;;;Rodboza fodao - ATOM3F
25/06/2018;ATSA11B;2E+11;8;BVMF;BRATSACTF000;;;;;1140;;;;;;;888.88;1139.9;;;;;;;;;;;;Rodboza fodao - ATSA11B
25/06/2018;ATTB34;2E+11;8;BVMF;BRATTBBDR007;120.49;119.8;120.49;119.9;119.99;-0.82;4;Electronic (default);419651;111398.95;3500;;119.99;4;419651;111398.95;;;;;3500;;;;Rodboza fodao - ATTB34
25/06/2018;ATTB34F;2E+11;8;BVMF;BRATTBBDR007;119.8;119.8;119.8;119.8;119.8;-0.98;1;Electronic (default);3594;954.04;30;;;1;3594;954.04;;;;;30;;;;Rodboza fodao - ATTB34F
25/06/2018;AVON34;10033647;8;BVMF;BRAVONBDR009;2.88;2.88;2.88;2.88;2.88;1.76;1;Electronic (default);4320;1146.77;1500;2.86;8;1;4320;1146.77;;;;;1500;;;;Rodboza fodao - AVON34
25/06/2018;AVON34F;10033651;8;BVMF;BRAVONBDR009;2.88;2.88;2.88;2.88;2.88;1.76;1;Electronic (default);175.68;46.63;61;;;1;175.68;46.63;;;;;61;;;;Rodboza fodao - AVON34F
25/06/2018;AXPB34;2E+11;8;BVMF;BRAXPBBDR007;367.23;367.23;376.03;371.88;373.85;1.14;8;Electronic (default);483456;128336.38;1300;;;8;483456;128336.38;;;;;1300;;;;Rodboza fodao - AXPB34
25/06/2018;AXPB34F;2E+11;8;BVMF;BRAXPBBDR007;371.6;371.11;371.6;371.42;371.11;0.4;2;Electronic (default);5199.95;1380.35;14;;;2;5199.95;1380.35;;;;;14;;;;Rodboza fodao - AXPB34F
25/06/2018;AZEV3;10034297;8;BVMF;BRAZEVACNOR0;;;;;2.47;;;;;;;1.2;2.46;;;;;;;;;;;;Rodboza fodao - AZEV3
25/06/2018;AZEV3F;10034311;8;BVMF;BRAZEVACNOR0;;;;;1;;;;;;;;;;;;;;;;;;;;Rodboza fodao - AZEV3F
25/06/2018;AZEV4;10034295;8;BVMF;BRAZEVACNPR7;;;;;0.95;;;;;;;0.65;0.9;;;;;;;;;;;;Rodboza fodao - AZEV4
25/06/2018;AZEV4F;10034310;8;BVMF;BRAZEVACNPR7;;;;;1.05;;;;;;;;100;;;;;;;;;;;;Rodboza fodao - AZEV4F
25/06/2018;AZUL4;2E+11;8;BVMF;BRAZULACNPR4;22.11;21.39;22.2;21.82;21.87;-1.35;5902;Electronic (default);25822064;6854626.63;1183400;21.87;22;5901;25819864;6854042.63;;;;1;1183300;100;2200;584;Rodboza fodao - AZUL4
25/06/2018;AZUL4F;2E+11;8;BVMF;BRAZULACNPR4;21.96;21.27;22.46;21.77;22.46;1.3;40;Electronic (default);18444.55;4896.21;847;22.1;22.46;39;16345.05;4338.89;;;;1;752;95;2099.5;557.32;Rodboza fodao - AZUL4F
25/06/2018;B3SA3;2E+11;8;BVMF;BRB3SAACNOR6;20;19.8;21.04;20.42;20.69;3.6;24043;Electronic (default);250462324;66486773.38;12265100;20.69;20.7;23959;249802471;66311611.31;;;;84;12233600;31500;659853;175162.06;Rodboza fodao - B3SA3
25/06/2018;B3SA3F;2E+11;8;BVMF;BRB3SAACNOR6;20;19.51;20.95;20.27;20.79;4.1;173;Electronic (default);91071.38;24175.46;4492;20.79;20.92;158;84496.91;22430.22;;;;15;4177;315;6574.47;1745.23;Rodboza fodao - B3SA3F
25/06/2018;BAHI3;2E+11;8;BVMF;BRBAHIACNOR1;;;;;69.5;;;;;;;62.02;70;;;;;;;;;;;;Rodboza fodao - BAHI3
25/06/2018;BAHI3F;2E+11;8;BVMF;BRBAHIACNOR1;;;;;62;;;;;;;;;;;;;;;;;;;;Rodboza fodao - BAHI3F
25/06/2018;BALM3;2E+11;8;BVMF;BRBALMACNOR5;;;;;10.5;;;;;;;;;;;;;;;;;;;;Rodboza fodao - BALM3
25/06/2018;BALM3F;2E+11;8;BVMF;BRBALMACNOR5;;;;;10.38;;;;;;;;;;;;;;;;;;;;Rodboza fodao - BALM3F
25/06/2018;BALM4;2E+11;8;BVMF;BRBALMACNPR2;;;;;9.45;;;;;;;;9.4;;;;;;;;;;;;Rodboza fodao - BALM4
25/06/2018;BALM4F;2E+11;8;BVMF;BRBALMACNPR2;;;;;8.08;;;;;;;5.01;9.99;;;;;;;;;;;;Rodboza fodao - BALM4F
25/06/2018;BAUH3;2E+11;8;BVMF;BRBAUHACNOR6;;;;;0;;;;;;;;;;;;;;;;;;;;Rodboza fodao - BAUH3
25/06/2018;BAUH3F;2E+11;8;BVMF;BRBAUHACNOR6;;;;;0;;;;;;;;;;;;;;;;;;;;Rodboza fodao - BAUH3F
25/06/2018;BAUH4;2E+11;8;BVMF;BRBAUHACNPR3;12.74;12.74;12.75;12.74;12.75;0;2;Electronic (default);5098;1353.29;400;12.74;12.75;2;5098;1353.29;;;;;400;;;;Rodboza fodao - BAUH4
25/06/2018;BAUH4F;2E+11;8;BVMF;BRBAUHACNPR3;;;;;14.3;;;;;;;;;;;;;;;;;;;;Rodboza fodao - BAUH4F
25/06/2018;BAZA3;2E+11;8;BVMF;BRBAZAACNOR0;;;;;22.96;;;;;;;22.91;23.99;;;;;;;;;;;;Rodboza fodao - BAZA3
25/06/2018;BAZA3F;2E+11;8;BVMF;BRBAZAACNOR0;;;;;23;;;;;;;23;25.45;;;;;;;;;;;;Rodboza fodao - BAZA3F
25/06/2018;BBAS11;2E+11;8;BVMF;BRBBASA04OR8;;;;;0;;;;;;;;;;;;;;;;;;;;Rodboza fodao - BBAS11
25/06/2018;BBAS11F;2E+11;8;BVMF;BRBBASA04OR8;;;;;0;;;;;;;;;;;;;;;;;;;;Rodboza fodao - BBAS11F
25/06/2018;BBAS12;2E+11;8;BVMF;BRBBASA05OR5;;;;;0;;;;;;;;;;;;;;;;;;;;Rodboza fodao - BBAS12
25/06/2018;BBAS12F;2E+11;8;BVMF;BRBBASA05OR5;;;;;0;;;;;;;;;;;;;;;;;;;;Rodboza fodao - BBAS12F
25/06/2018;BBAS3;2E+11;8;BVMF;BRBBASACNOR3;26.35;25.97;27;26.37;26.86;2.91;19941;Electronic (default);292840563;77736339.09;11104100;26.84;26.86;19821;291368822;77345656.34;;;;120;11049500;54600;1471741;390682.75;Rodboza fodao - BBAS3
