RptDt;TckrSymb;SctyId;SctySrc;MktIdrCd;ISIN;FrstPric;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;TradQty;MktDataStrmId;NtlFinVol;IntlFinVol;FinInstrmQty;BestBidPric;BestAskPric;RglrTxsQty;NtlRglrVol;IntlRglrVol;MaxTradLmt;MinTradLmt;OpnIntrst;NonRglrTxsQty;RglrTraddCtrcts;NonRglrTraddCtrcts;NtlNonRglrVol;IntlNonRglrVol
2018-06-25;CCROT18;200000183505;8;BVMF;BRCCRO3T06N1;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROT19;200000183482;8;BVMF;BRCCRO3T06P6;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROT43;200000184342;8;BVMF;BRCCRO3T06H3;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROT44;200000184416;8;BVMF;BRCCRO3T06I1;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROT46;200000184478;8;BVMF;BRCCRO3T06K7;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROT47;200000184439;8;BVMF;BRCCRO3T06M3;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROT48;200000184518;8;BVMF;BRCCRO3T06O9;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROT67;200000147925;8;BVMF;BRCCRO3T0643;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROT88;200000185515;8;BVMF;BRCCRO3T06Q4;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROT9;200000184072;8;BVMF;BRCCRO3T06R2;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROT92;200000184569;8;BVMF;BRCCRO3T06S0;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROT94;200000184624;8;BVMF;BRCCRO3T06T8;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROT96;200000184680;8;BVMF;BRCCRO3T06U6;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROT98;200000184737;8;BVMF;BRCCRO3T06V4;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU10;200000163252;8;BVMF;BRCCRO3U0616;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU105;200000164458;8;BVMF;BRCCRO3U0624;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU106;200000194215;8;BVMF;BRCCRO3U06M1;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU11;200000190797;8;BVMF;BRCCRO3U06D0;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU12;200000190802;8;BVMF;BRCCRO3U06F5;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU13;200000190807;8;BVMF;BRCCRO3U06H1;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU14;200000190818;8;BVMF;BRCCRO3U06J7;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU147;200000163249;8;BVMF;BRCCRO3U0608;;;;;;;;;;;;0.11;;;;;;;;;;;;
2018-06-25;CCROU148;200000190504;8;BVMF;BRCCRO3U06K5;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU187;200000146851;8;BVMF;BRCCRO3U05Z5;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU40;200000189964;8;BVMF;BRCCRO3U06C2;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU41;200000190268;8;BVMF;BRCCRO3U06E8;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU42;200000190308;8;BVMF;BRCCRO3U06G3;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU43;200000190300;8;BVMF;BRCCRO3U06I9;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU8;200000189496;8;BVMF;BRCCRO3U0632;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU82;200000189305;8;BVMF;BRCCRO3U0640;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU84;200000189322;8;BVMF;BRCCRO3U0657;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU86;200000189353;8;BVMF;BRCCRO3U0665;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU88;200000189377;8;BVMF;BRCCRO3U0673;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU9;200000189409;8;BVMF;BRCCRO3U0681;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU92;200000189296;8;BVMF;BRCCRO3U0699;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU94;200000189328;8;BVMF;BRCCRO3U06A6;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU96;200000189368;8;BVMF;BRCCRO3U06B4;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROU990;200000194213;8;BVMF;BRCCRO3U06L3;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CCROX11;200000162755;8;BVMF;BRCCRO3X07Y8;;;;;;;;;;;;1.3;;;;;;;;;;;;
2018-06-25;CCROX185;200000182496;8;BVMF;BRCCRO3X07Z5;;;;;;;;;;;;1.08;;;;;;;;;;;;
2018-06-25;CESPG16;200000172246;8;BVMF;BRCESP6G07K1;;;;;;;;;;;;0.3;;;;;;;;;;;;
2018-06-25;CESPH14;200000178730;8;BVMF;BRCESP6H07P8;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CESPH165;200000178828;8;BVMF;BRCESP6H07O1;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CESPH17;200000179774;8;BVMF;BRCESP6H07R4;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CESPH20;200000178813;8;BVMF;BRCESP6H07Q6;;;;;;;;;;;;0.01;;;;;;;;;;;;
2018-06-25;CESPS16;200000172114;8;BVMF;BRCESP6S07K6;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CESPT14;200000178815;8;BVMF;BRCESP6T07S7;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CESPT165;200000178829;8;BVMF;BRCESP6T07R9;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CESPT17;200000179775;8;BVMF;BRCESP6T07U3;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CESPT20;200000178848;8;BVMF;BRCESP6T07T5;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELG133;200000191254;8;BVMF;BRCIEL3G0A09;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELG136;200000191331;8;BVMF;BRCIEL3G0A17;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELG138;200000191137;8;BVMF;BRCIEL3G0A25;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELG141;200000191287;8;BVMF;BRCIEL3G0A33;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELG146;200000189314;8;BVMF;BRCIEL3G09Z8;;;;;;;;;;;;0.11;;;;;;;;;;;;
2018-06-25;CIELG15;200000176365;8;BVMF;BRCIEL3G09W5;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELG153;200000187217;8;BVMF;BRCIEL3G09X3;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELG156;200000187208;8;BVMF;BRCIEL3G09Y1;0.53;0.53;0.53;0.53;0.53;-3.63;1;Electronic (default);53;14.06;100;;1;1;53;14.06;;;;;100;;;
2018-06-25;CIELG16;200000172394;8;BVMF;BRCIEL3G09L8;0.39;0.39;0.41;0.4;0.41;-4.65;2;Electronic (default);4820;1279.49;12000;0.3;0.58;2;4820;1279.49;;;;;12000;;;
2018-06-25;CIELG17;200000172388;8;BVMF;BRCIEL3G09N4;0.12;0.12;0.17;0.15;0.17;54.54;4;Electronic (default);2152;571.26;14200;0.11;0.17;4;2152;571.26;;;;;14200;;;
2018-06-25;CIELG18;200000172119;8;BVMF;BRCIEL3G09P9;;;;;;;;;;;;0.02;0.25;;;;;;;;;;;
2018-06-25;CIELG19;200000172135;8;BVMF;BRCIEL3G09R5;;;;;;;;;;;;;0.14;;;;;;;;;;;
2018-06-25;CIELG193;200000176363;8;BVMF;BRCIEL3G09U9;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELG20;200000172202;8;BVMF;BRCIEL3G09C7;;;;;;;;;;;;;0.12;;;;;;;;;;;
2018-06-25;CIELG203;200000176364;8;BVMF;BRCIEL3G09V7;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELG21;200000172225;8;BVMF;BRCIEL3G09E3;;;;;;;;;;;;;0.08;;;;;;;;;;;
2018-06-25;CIELG22;200000172217;8;BVMF;BRCIEL3G09G8;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELG23;200000172242;8;BVMF;BRCIEL3G09H6;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELG236;200000172335;8;BVMF;BRCIEL3G09T1;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELG24;200000172165;8;BVMF;BRCIEL3G09I4;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELG255;200000153937;8;BVMF;BRCIEL3G09B9;;;;;;;;;;;;;0.06;;;;;;;;;;;
2018-06-25;CIELG46;200000172251;8;BVMF;BRCIEL3G09M6;;;;;;;;;;;;0.07;;;;;;;;;;;;
2018-06-25;CIELG47;200000172282;8;BVMF;BRCIEL3G09O2;;;;;;;;;;;;0.05;0.12;;;;;;;;;;;
2018-06-25;CIELG48;200000172395;8;BVMF;BRCIEL3G09Q7;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELG49;200000172406;8;BVMF;BRCIEL3G09S3;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELG50;200000172245;8;BVMF;BRCIEL3G09D5;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELG51;200000172253;8;BVMF;BRCIEL3G09F0;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELG53;200000119989;8;BVMF;BRCIEL3G0995;;;;;;;;;;;;;0.19;;;;;;;;;;;
2018-06-25;CIELG54;200000172189;8;BVMF;BRCIEL3G09J2;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELG55;200000172237;8;BVMF;BRCIEL3G09K0;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELG75;200000119956;8;BVMF;BRCIEL3G09A1;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH13;200000185262;8;BVMF;BRCIEL3H09Y9;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH14;200000185421;8;BVMF;BRCIEL3H0A07;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH15;200000185444;8;BVMF;BRCIEL3H0A23;;;;;;;;;;;;0.08;;;;;;;;;;;;
2018-06-25;CIELH16;200000185340;8;BVMF;BRCIEL3H0A49;;;;;;;;;;;;0.62;;;;;;;;;;;;
2018-06-25;CIELH17;200000185381;8;BVMF;BRCIEL3H0A72;;;;;;;;;;;;0.07;1.5;;;;;;;;;;;
2018-06-25;CIELH173;200000190216;8;BVMF;BRCIEL3H0AF9;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH178;200000190191;8;BVMF;BRCIEL3H0AG7;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH18;200000185034;8;BVMF;BRCIEL3H0A98;;;;;;;;;;;;;1.15;;;;;;;;;;;
2018-06-25;CIELH183;200000190709;8;BVMF;BRCIEL3H0AH5;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH186;200000181936;8;BVMF;BRCIEL3H09X1;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH188;200000190645;8;BVMF;BRCIEL3H0AI3;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH19;200000185058;8;BVMF;BRCIEL3H0AA0;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH193;200000190872;8;BVMF;BRCIEL3H0AJ1;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH20;200000183702;8;BVMF;BRCIEL3H0AC6;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH208;200000190259;8;BVMF;BRCIEL3H0AK9;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH21;200000183718;8;BVMF;BRCIEL3H0AE2;;;;;;;;;;;;;0.45;;;;;;;;;;;
2018-06-25;CIELH213;200000190152;8;BVMF;BRCIEL3H0AL7;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH218;200000191955;8;BVMF;BRCIEL3H0AM5;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH22;200000162668;8;BVMF;BRCIEL3H09T9;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH221;200000191868;8;BVMF;BRCIEL3H0AP8;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH228;200000165360;8;BVMF;BRCIEL3H09W3;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH242;200000162687;8;BVMF;BRCIEL3H09U7;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH251;200000191561;8;BVMF;BRCIEL3H0AO1;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH265;200000162634;8;BVMF;BRCIEL3H09V5;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH266;200000191932;8;BVMF;BRCIEL3H0AN3;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH42;200000184596;8;BVMF;BRCIEL3H0A56;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH43;200000184652;8;BVMF;BRCIEL3H09Z6;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH44;200000184786;8;BVMF;BRCIEL3H0A15;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH45;200000184801;8;BVMF;BRCIEL3H0A31;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH46;200000184736;8;BVMF;BRCIEL3H0A64;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH47;200000184769;8;BVMF;BRCIEL3H0A80;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH49;200000184479;8;BVMF;BRCIEL3H0AB8;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELH50;200000185325;8;BVMF;BRCIEL3H0AD4;0.02;0.02;0.03;0.02;0.03;;2;Electronic (default);50;13.27;2000;;0.15;2;50;13.27;;;;;2000;;;
2018-06-25;CIELI10;200000190254;8;BVMF;BRCIEL3I09L4;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI11;200000190303;8;BVMF;BRCIEL3I09N0;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI12;200000190231;8;BVMF;BRCIEL3I09P5;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI13;200000190270;8;BVMF;BRCIEL3I09R1;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI14;200000190327;8;BVMF;BRCIEL3I09T7;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI15;200000190358;8;BVMF;BRCIEL3I09V3;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI155;200000187353;8;BVMF;BRCIEL3I09J8;;;;;;;;;;;;;;;;;;;;;;;;
